,licese_year,region,license_count,x_point,y_point,accident_year,accident_outcome,accident_count
180,2000,Madinah,9562,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
181,2000,Madinah,9562,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
182,2000,Madinah,9562,24.927534539,39.4918237173,2016,No. of Accidents,14475
183,2000,Madinah,9562,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
184,2000,Madinah,9562,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
185,2000,Madinah,9562,24.927534539,39.4918237173,2017,No. of Accidents,16070
186,2007,Madinah,12174,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
187,2007,Madinah,12174,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
188,2007,Madinah,12174,24.927534539,39.4918237173,2016,No. of Accidents,14475
189,2007,Madinah,12174,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
190,2007,Madinah,12174,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
191,2007,Madinah,12174,24.927534539,39.4918237173,2017,No. of Accidents,16070
192,2004,Madinah,10556,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
193,2004,Madinah,10556,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
194,2004,Madinah,10556,24.927534539,39.4918237173,2016,No. of Accidents,14475
195,2004,Madinah,10556,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
196,2004,Madinah,10556,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
197,2004,Madinah,10556,24.927534539,39.4918237173,2017,No. of Accidents,16070
198,2010,Madinah,15045,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
199,2010,Madinah,15045,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
200,2010,Madinah,15045,24.927534539,39.4918237173,2016,No. of Accidents,14475
201,2010,Madinah,15045,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
202,2010,Madinah,15045,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
203,2010,Madinah,15045,24.927534539,39.4918237173,2017,No. of Accidents,16070
204,1995,Madinah,4155,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
205,1995,Madinah,4155,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
206,1995,Madinah,4155,24.927534539,39.4918237173,2016,No. of Accidents,14475
207,1995,Madinah,4155,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
208,1995,Madinah,4155,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
209,1995,Madinah,4155,24.927534539,39.4918237173,2017,No. of Accidents,16070
210,1996,Madinah,3425,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
211,1996,Madinah,3425,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
212,1996,Madinah,3425,24.927534539,39.4918237173,2016,No. of Accidents,14475
213,1996,Madinah,3425,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
214,1996,Madinah,3425,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
215,1996,Madinah,3425,24.927534539,39.4918237173,2017,No. of Accidents,16070
216,1999,Madinah,11108,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
217,1999,Madinah,11108,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
218,1999,Madinah,11108,24.927534539,39.4918237173,2016,No. of Accidents,14475
219,1999,Madinah,11108,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
